vehicle_class_definition,car_wash_cost,car_wash_discount_x2,car_wash_minutes,mini_detail_cost,mini_detail_2x_discount,mini_detail_minutes,exterior_only_cost,exterior_only_3x_discount,exterior_only_minutes,full_detail_cost,full_detail_2x_discount,full_detail_minutes,has_pet_cost
Not Available,50,4,75,65,4,90,30,4,30,65,4,90,8.5
Midsize Cars,39.5,4,60,54.5,4,90,22,4,30,54.5,4,90,8.5
Large Cars,39.5,4,60,54.5,4,90,22,4,30,54.5,4,90,8.5
Small Sport Utility Vehicles,39.5,4,60,54.5,4,90,22,4,30,54.5,4,90,8.5
Small Station Wagons,42.5,4,75,57.5,4,90,24,4,30,57.5,4,90,8.5
Standard Sport Utility Vehicles,46.5,4,75,61.5,4,90,25,4,30,61.5,4,90,8.5
Sport Utility Vehicles,44.5,4,75,59.5,4,90,25,4,30,59.5,4,90,8.5
Standard Pickup Trucks,44.5,4,75,59.5,4,90,25,4,30,59.5,4,90,8.5
Small Pickup Trucks,42.5,4,75,57.5,4,90,24,4,30,57.5,4,90,8.5
Passenger Vans,50,4,75,65,4,90,30,4,30,65,4,90,8.5
Cargo Vans,50,4,75,65,4,90,30,4,30,65,4,90,8.5
Minivan,50,4,75,65,4,90,30,4,30,65,4,90,8.5
Compact Cars,39.5,4,60,54.5,4,90,22,4,30,54.5,4,90,8.5
Subcompact Cars,39.5,4,60,54.5,4,90,22,4,30,54.5,4,90,8.5
